10000 40000
0 1501 54
0 4977 26
0 6357 40
0 6604 26
0 6769 10
0 7528 16
1 1017 14
1 5041 85
1 6760 7
1 7821 9
1 8763 34
1 9429 29
2 3545 9
2 3898 5
2 5568 22
2 8192 4
3 151 68
3 1945 81
3 2102 65
3 9345 68
4 240 54
4 2648 30
4 3331 26
4 5931 6
4 9743 47
5 1049 52
5 2888 44
5 4912 85
5 4971 68
5 5472 7
5 5483 1
5 7155 13
5 7525 45
5 7961 93
5 9951 89
6 305 14
6 759 85
6 1615 12
6 2420 67
6 2919 73
6 3268 22
6 3612 50
6 3621 0
6 3722 15
6 5597 32
6 8043 50
7 2973 24
7 8217 26
7 9363 4
8 1917 97
8 4739 49
8 5212 51
8 5366 40
8 5974 23
8 9869 6
9 2206 25
9 2422 74
9 6830 18
9 9409 99
10 3843 27
10 6125 91
10 8304 30
10 9184 69
10 9548 77
11 465 97
11 1646 43
11 2885 31
11 4533 14
11 7588 44
11 7595 24
11 9274 85
12 359 35
12 9627 28
13 2571 32
13 5374 57
14 2768 44
14 3060 78
14 5478 44
14 8643 7
14 9257 39
14 9332 4
15 488 20
15 2691 92
15 2726 49
15 4016 57
16 3449 27
16 5557 31
16 6728 10
16 8611 84
17 357 87
17 402 69
17 2643 24
17 3778 23
17 3945 76
17 9307 76
18 338 2
18 5049 59
18 7104 71
18 7334 80
19 629 51
19 2214 90
19 4996 72
19 5148 22
19 5910 14
19 9599 83
20 116 88
20 272 18
20 1198 15
20 6025 34
20 9515 59
20 9936 65
21 425 47
21 1101 14
21 2295 49
21 2774 48
21 7692 7
21 8694 0
21 9853 71
22 597 2
22 1820 64
22 3992 32
22 4142 65
22 7424 93
22 7711 32
22 9180 49
22 9848 0
23 987 10
23 3577 88
23 8180 31
23 8730 63
23 9215 51
24 177 80
24 868 47
24 993 51
24 3320 81
24 6154 10
25 1877 9
25 2028 45
25 3310 70
25 5832 33
26 758 38
26 2429 27
26 9874 75
26 9965 43
27 4163 13
27 4704 80
27 8148 93
28 910 64
28 1165 15
28 1543 47
28 2543 33
28 3388 38
28 3937 31
28 4719 26
28 4831 47
28 6661 75
28 8342 83
28 8659 56
28 9597 54
29 346 62
29 2817 85
29 3996 67
29 6461 92
29 9225 89
30 1754 38
30 2477 9
30 2845 38
30 5756 65
30 7500 39
31 5652 16
31 6259 13
31 8066 29
31 8566 12
31 9257 60
32 5887 47
33 2681 12
33 5456 38
33 5910 0
33 9013 73
35 2137 31
35 3179 54
35 5723 2
35 9108 84
36 192 38
36 600 66
36 3147 46
36 8451 89
37 1950 7
37 2192 27
37 2224 68
37 2859 23
37 4926 89
37 6535 41
38 265 11
38 1388 55
38 1603 78
38 1857 3
38 2990 73
38 5184 98
38 7172 50
38 7340 31
39 1194 31
39 1539 5
39 5022 76
39 5248 75
39 5932 52
39 5986 10
39 6163 0
39 8380 45
40 588 46
40 6488 85
40 8637 22
40 9313 75
41 1516 66
41 1924 67
41 3400 46
41 5937 65
41 6461 25
41 8125 34
41 8467 34
41 9764 85
42 4952 44
42 6591 93
42 8317 45
42 8775 93
43 3988 10
43 6618 46
43 8396 30
43 9676 4
45 4617 50
45 4716 28
45 5188 73
45 7681 90
46 1188 82
46 2413 69
46 5006 11
46 6386 29
46 7376 70
46 9274 22
47 990 40
47 1819 10
47 5468 50
47 6216 14
47 6642 53
47 7081 49
47 8934 71
47 9672 31
48 62 54
48 125 42
48 709 96
48 1051 70
48 1655 7
48 2469 30
48 8081 57
49 475 13
49 4146 53
49 7549 86
49 7846 98
50 570 79
50 797 2
50 4642 54
50 7729 94
50 9304 12
51 4030 21
51 8894 93
52 2242 50
52 4027 5
52 4694 55
52 6177 73
52 9370 57
53 6002 31
54 941 92
54 2737 97
54 3285 85
54 7845 51
54 8227 76
54 8793 52
54 9446 62
55 5542 95
55 6164 76
55 7106 30
56 2703 81
56 3110 68
56 7415 42
56 8684 41
56 8998 53
56 9115 7
56 9150 16
57 1473 53
57 2420 37
57 6578 31
58 76 47
58 1652 44
59 903 27
59 3830 81
59 6661 56
59 9453 33
60 194 88
60 1114 10
60 9973 48
61 1028 64
61 1741 69
61 4272 31
61 5304 61
61 9332 97
61 9948 55
62 352 15
62 865 42
62 2015 24
62 9340 19
63 5451 1
63 6442 22
64 4508 94
64 5161 7
65 26 71
65 229 91
65 976 75
65 1341 33
65 3775 33
65 4705 27
65 6075 76
65 9264 41
66 203 55
66 782 82
66 2861 4
66 3089 75
66 4333 91
66 9031 57
67 1836 94
67 2848 75
67 8995 39
68 1622 33
68 3589 75
69 1068 51
70 747 26
70 926 39
70 2510 4
70 2698 69
70 7351 72
70 8281 93
71 658 22
71 1017 4
71 2549 6
71 6651 31
71 6803 69
71 7113 68
72 1021 23
72 1163 77
72 2818 10
72 9317 58
73 278 26
73 2019 21
73 5591 42
73 7504 62
74 41 19
75 3531 17
75 4829 97
75 6071 90
76 1826 37
76 2431 74
76 3382 28
76 5772 44
76 6855 74
77 1591 85
77 3705 18
77 6380 73
77 9559 59
78 1274 10
78 1724 81
78 4583 27
78 4890 17
78 6584 56
79 2060 25
79 2973 69
79 4478 49
79 5630 91
79 7466 89
79 7788 81
80 1512 72
80 2870 46
80 5227 54
80 5855 58
80 7153 41
80 8544 66
81 719 96
81 2621 35
81 6253 70
81 8570 46
82 3142 66
82 4852 85
82 6692 8
83 692 32
83 4300 56
83 7303 86
84 114 55
84 2868 72
84 8572 73
85 1079 27
85 1085 27
85 8946 97
85 9021 92
85 9044 23
86 357 15
86 716 92
86 993 58
87 2985 52
87 4781 43
88 1269 77
88 2771 48
88 6159 3
89 2696 26
89 3301 11
89 5065 38
89 5620 90
89 6943 21
89 7050 38
89 9668 80
90 358 96
90 1164 97
90 1330 81
90 1441 55
90 1443 77
90 2960 26
90 4348 1
90 4755 91
90 4947 85
90 4976 90
90 5502 78
90 6243 13
90 8616 99
91 1056 10
91 2240 50
91 5701 93
91 8658 3
91 9651 87
92 1933 67
92 4386 48
92 8027 81
92 8557 73
92 8884 42
93 439 67
93 690 19
93 1731 47
93 3936 46
93 6094 38
93 6565 36
93 9931 89
94 796 91
94 2015 48
94 3112 57
94 4532 96
94 6046 98
94 6762 22
94 9436 75
94 9600 29
95 2076 82
95 2911 69
95 9510 85
96 313 0
96 2198 82
96 2910 82
96 6907 46
96 7815 85
97 783 18
97 856 37
97 3083 15
97 4835 12
97 8193 11
97 9279 74
98 3258 42
98 3327 9
98 4436 74
98 5496 54
98 7619 13
98 9335 52
98 9755 16
99 2078 16
99 3044 95
99 3654 47
99 5042 55
99 6846 91
100 462 83
100 2493 20
100 6517 4
101 185 84
101 4360 9
101 4495 1
101 5113 69
101 6010 49
101 8171 5
101 9612 72
102 1560 60
102 2227 55
102 3302 80
102 4286 68
102 7389 30
102 8602 94
102 9375 64
103 63 47
103 5661 61
103 6814 31
104 2373 43
104 3677 51
104 6115 28
104 6145 30
104 6340 96
105 443 97
105 4662 1
105 5299 72
105 5401 65
106 328 42
106 664 36
106 712 0
106 4760 90
106 5271 3
106 7750 41
107 829 43
107 4716 34
107 5722 46
108 1202 90
108 3838 84
108 6435 42
108 7161 55
108 7381 97
109 1101 12
109 2100 5
109 2480 37
109 4575 94
109 6672 15
109 7090 55
109 7872 51
109 9224 36
109 9780 53
110 290 37
110 1422 77
110 1618 20
110 3255 49
110 4178 97
110 4333 6
110 6324 85
110 8315 81
111 275 98
111 397 48
111 2099 89
111 2620 25
111 2916 12
111 7602 22
112 1240 53
112 2661 57
112 2717 96
112 5341 35
112 8592 58
112 8927 82
112 8940 35
113 144 88
113 540 22
113 5907 79
114 2841 57
115 41 98
115 140 27
115 601 45
115 2243 77
115 7730 49
115 8245 17
115 8512 75
115 9376 60
116 250 67
116 1293 90
116 1495 32
116 2687 42
116 3839 40
116 4991 16
117 296 49
117 751 69
117 3844 84
117 4561 60
117 6449 70
117 8392 12
117 8519 9
118 938 76
118 2495 85
118 3267 77
118 3742 56
118 4243 88
118 4658 52
118 7684 53
118 9320 79
118 9841 71
119 935 46
119 3017 13
119 5779 84
119 6532 24
119 8228 41
120 4811 48
120 4912 97
120 6425 47
120 7866 9
121 39 39
121 3975 63
121 5733 13
121 7782 82
121 8448 49
122 29 63
122 5022 12
122 6215 13
122 7281 43
122 7294 23
123 1443 31
123 5643 78
124 457 43
124 984 5
124 2259 78
124 3595 37
124 3643 98
124 7435 39
124 7607 74
125 1142 12
125 1816 0
125 2584 68
125 3104 45
125 5847 41
125 6809 95
125 6878 90
125 6990 38
125 7905 7
126 1203 38
126 1757 31
126 6406 32
126 9505 68
127 968 55
127 3730 46
127 4127 11
127 4386 96
127 6338 37
127 8571 14
127 9964 40
128 2365 74
128 3227 8
128 4816 96
128 6211 7
128 6728 64
128 6953 37
128 7386 4
128 9155 37
129 2429 59
129 3284 91
129 4056 59
129 4640 60
130 1907 37
130 5539 21
130 5541 94
131 2841 59
131 3536 85
131 9682 6
132 7395 81
132 8945 93
133 1067 14
133 2407 79
133 2490 47
133 7017 98
133 8936 86
133 9554 93
134 222 33
134 1401 78
134 5873 23
134 7131 37
134 7553 33
135 1239 86
135 1906 35
135 2610 64
135 3417 33
135 4345 39
135 5447 47
135 7709 78
135 8436 38
136 1942 56
136 2255 24
136 2576 49
136 3351 87
136 4680 98
136 5697 66
136 9053 63
136 9913 24
137 2255 97
137 2797 88
137 4612 34
137 4910 16
137 7556 53
138 1482 98
138 1711 29
138 3310 67
138 4463 93
138 5549 99
138 5713 31
138 9553 82
139 5019 77
139 5232 24
139 5317 65
139 7898 73
140 3633 27
140 6520 96
141 2647 31
141 3567 82
141 5874 27
141 6709 36
141 7766 37
141 8001 64
142 1097 41
142 1106 97
142 2509 18
142 3844 16
142 5031 90
142 5075 46
142 5712 58
142 7507 95
142 8842 60
143 59 19
144 759 40
144 1406 25
144 4624 40
144 5066 82
144 6561 80
144 6847 94
145 310 34
145 1370 13
145 2562 95
145 4604 30
146 1946 49
146 4074 13
146 5867 96
146 5908 79
146 7328 55
146 7711 44
147 5558 51
147 6903 14
147 8022 28
147 8653 41
148 194 8
148 1567 51
148 4412 92
148 9692 57
149 759 30
149 1784 50
149 4108 75
149 4168 38
149 8889 78
149 8922 90
150 79 55
150 1435 42
150 2114 13
150 2675 15
150 8582 3
150 9086 65
151 759 45
151 2491 6
151 7185 52
151 8740 81
152 3070 55
152 3828 71
152 4840 84
152 7712 99
152 9490 14
153 533 53
153 3322 36
153 3883 48
153 8501 48
153 9730 90
154 1045 37
154 2046 24
154 6110 96
154 6685 50
155 624 41
155 3158 81
155 7760 46
156 34 5
156 3901 86
156 4707 12
156 6671 37
156 8456 70
156 9376 16
157 1013 61
157 1120 85
157 1226 11
157 1323 3
157 1873 75
157 3319 8
157 7901 40
157 9196 18
158 198 57
158 4347 73
158 6777 47
158 7107 87
159 1789 86
159 1833 70
159 6762 85
160 184 11
160 3013 94
160 3665 86
160 5503 84
160 6755 74
161 2324 71
161 4118 29
161 5806 43
161 8742 45
162 841 15
162 1134 3
162 2771 37
162 7634 75
162 7670 35
163 1448 96
163 6400 85
163 7228 90
163 8204 42
164 2688 3
164 3749 55
164 8675 69
164 8734 35
165 3834 97
165 5074 62
165 6545 27
165 6960 43
166 631 74
166 2136 0
166 6848 33
166 9673 17
167 3967 85
167 5621 38
167 7046 70
168 159 60
168 651 21
168 1746 53
168 4141 62
168 4968 68
168 5055 91
169 223 44
170 320 63
170 472 95
170 1841 57
170 2708 82
170 4336 26
170 4701 99
170 5311 54
170 7617 8
170 8494 16
170 9677 71
171 5272 37
171 5851 95
171 6040 58
172 174 15
172 633 94
172 1769 9
172 3162 39
172 4682 61
172 6721 46
172 7154 95
173 1988 99
173 3226 20
173 8225 68
173 8424 64
174 10 16
174 2760 92
174 3116 86
175 581 87
175 737 42
175 1015 0
175 1459 25
175 1476 82
175 1539 90
175 1730 26
175 4098 94
175 5550 32
175 6257 82
175 6354 48
175 9378 28
176 7642 98
177 2625 15
177 4958 41
177 7187 43
177 7349 2
178 343 18
178 2160 27
178 2573 17
178 3579 58
178 3580 37
178 3874 97
